x,error,function,derivative
9999997.000000969,9999997.000000969,-9.999991000005606e+20,-299999820000084.8
6666664.666667309,3333332.33333366,-2.962960296297952e+20,-133333253333370.25
4444443.111111526,2222221.5555557823,-8.779141618660524e+19,-59259223703720.65
2962962.0740743643,1481481.037037162,-2.60122714626982e+19,-26337432757209.547
1975308.0493829234,987654.0246914409,-7.707339692651481e+18,-11705525669871.16
1316872.032921963,658436.0164609605,-2.2836562052301412e+18,-5202455853275.133
877914.6886145629,438957.34430740005,-6.766388756235626e+17,-2312202601455.849
585276.4590764049,292638.22953815793,-2.004855927773824e+17,-1027645600646.2676
390184.3060507892,195092.15302561573,-5.940313860063857e+16,-456731378064.0102
260122.87070024206,130061.43535054714,-1.7600929955687096e+16,-202991723583.16254
173415.24713313504,86707.62356710702,-5215090357208172.0,-90218543814.12
115610.16475502681,57805.08237810823,-1545211957675409.0,-40097130583.62296
77073.44316960429,38536.72158542252,-457840580044603.56,-17820946925.37259
51382.29544541951,25691.147724184775,-135656468153575.31,-7920420854.721405
34254.86362811782,17127.431817301695,-40194509074930.2,-3520187045.669191
22836.57574924484,11418.28787887298,-11909484165917.365,-1564527575.5206838
15224.383831212446,7612.191918032393,-3528736048034.762,-695345589.3441662
10149.5892224439,5074.794608768547,-1045551422146.313,-309042484.9342828
6766.39282351303,3383.1963989308697,-309793015142.6869,-137352214.96347994
4510.928539773182,2255.464283739848,-91790522440.77849,-61045428.48477438
3007.285683639043,1503.642856134139,-27197191576.37153,-27131300.84470599
2004.8570963758416,1002.4285872632013,-8058426818.539625,-12058356.42839901
1336.5714252406797,668.2856711351619,-2387682168.960525,-5359268.539801371
891.0475349507897,445.52389028989,-707461187.9277918,-2381896.2099246914
594.0315755735505,297.01595937723914,-209618009.7375436,-1058620.2710601802
396.0209994794269,198.01057609412362,-62109014.703203276,-470498.075435491
264.0140520637219,132.00694741570499,-18402681.281514596,-209110.37904074648
176.00942328377639,88.00462877994553,-5452650.737018175,-92938.03140268664
117.33967684388622,58.66974643989016,-1615603.4995744473,-41304.907738782924
78.22559602347347,39.11408082041275,-478682.45023387147,-18358.040694739673
52.15078454476085,26.07481147871262,-141835.02381456102,-8160.063935288513
34.76917761871828,17.381606926042572,-42033.28742669303,-3626.4770552384534
23.178510757617957,11.590666861100324,-12452.87512847438,-1610.8026974553984
15.447660077924962,7.730850679692995,-3687.2445550064544,-716.1479791892223
10.298941290530042,5.14871878739492,-1093.0317179851008,-317.4375681866967
6.855644631508736,3.443296659021306,-321.37378930682723,-141.5412908628804
4.58511433361735,2.270530297891386,-96.52104375401707,-62.077908847358344
3.030277104944747,1.5548372286726027,-28.81957073557759,-27.65882380131996
1.9883104999077594,1.0419666050369876,-8.266033682578062,-12.774235672156538
1.3412241383655823,0.6470863615421771,-2.185143257475767,-6.370410405326775
0.9982096199212752,0.3430145184443071,-0.45283047841471913,-3.829769626099131
0.8799700069354789,0.11823961298579633,-0.04422806175446403,-3.0937614077550024
0.8656741204965314,0.014295886438947525,-0.0006020875747424492,-3.009707400951967
0.8654740719554167,0.0002000485411146613,-1.1689316670171479e-07,-3.008538787863244
0.865474033101616,3.8853800732319144e-08,-4.551914400963142e-15,-3.0085385609133937
0.8654740331016144,1.5543122344752192e-15,1.1102230246251565e-16,-3.008538560913384
