x,absolute_error,relative_error,function(a),function(b)
408.3333333333333,408.3333333333333,1.0,-611.75,-611.0
2.492671009772039,405.8406623235613,162.8135685505792,-611.0,166124.1111111111
3.9672285714475004,1.4745575616754616,0.37168454882786045,166124.1111111111,-605.786591237042
96.26914286054327,92.30191428909576,0.9587902368966297,-605.786591237042,-596.2610974618906
9.915778872537032,86.35336398800624,8.70868189963095,-596.2610974618906,8655.74786710369
14.75335205116772,4.837573178630688,0.32789654594108303,8655.74786710369,-513.6773293509482
30.738455234327787,15.985103183160067,0.5200359959959335,-513.6773293509482,-394.3386032543052
23.42169535921728,7.316759875110506,0.31239241066429024,-394.3386032543052,332.8526301927734
24.592744291041683,1.1710489318244015,0.047617659825421585,332.8526301927734,-63.42418650001969
24.74263520485552,0.149890913813838,0.006058001202087935,-63.42418650001969,-7.196928235436758
24.73862192103002,0.00401328382550048,0.00016222746110561772,-7.196928235436758,0.1979968805558201
24.738633752749077,1.1831719056942802e-05,4.782688961401518e-07,0.1979968805558201,-0.0005854483329130744
24.73863375370596,9.568843495344481e-10,3.867975730030372e-11,-0.0005854483329130744,-4.7344087761302944e-08
