x/time = 0.006624460220336914,absolute_error,relative_error,function(a),function(b)
6.333333333333333,6.333333333333333,1.0,-4.375,-4.0
1.1150159744408947,5.218317358892438,4.6800382043935045,-4.0,181.48148148148144
1.2239769754600174,0.10896100101912265,0.08902210025492585,181.48148148148144,-3.870233842308532
3.8249824430361903,2.601005467576173,0.6800045506905777,-3.870233842308532,-3.714621380485485
1.5161819611741003,2.30880048186209,1.5227726888890052,-3.714621380485485,29.350353527478383
1.7354448402221856,0.21926287904808528,0.1263439055890785,29.350353527478383,-3.079840729761144
2.4118560236089825,0.676411183386797,0.28045255469878694,-3.079840729761144,-2.325889293921636
2.081566548104525,0.33028947550445764,0.15867351241074634,-2.325889293921636,2.219498914618665
2.140641753662178,0.05907520555765311,0.027596960330512177,2.219498914618665,-0.4834456337485573
2.151360674658545,0.010718920996366954,0.004982391433769329,-0.4834456337485573,-0.07424715817853933
2.150908247924131,0.0004524267344141464,0.0002103421821226803,-0.07424715817853933,0.003271944488269618
2.1509110835556307,2.835631499831237e-06,1.3183397126192986e-06,0.003271944488269618,-2.0636593554890226e-05
2.1509110843359442,7.803135915196435e-10,3.627828037977565e-10,-2.0636593554890226e-05,-5.677247116864237e-09
